procName,ImagePath,parentProc,NumberOfInstances,UserAccount,LoadedDlls,ChildProcs,GrandParentProcs,Ports,Notes
AggregatorHost.exe,C:\Windows\System32\AggregatorHost.exe,svchost.exe,1,NT AUTHORITY\SYSTEM,"AggregatorHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,RPCRT4.dll,advapi32.dll,msvcrt.dll,sechost.dll,UpdateHeartbeatScan.dll,UpdatePolicyScenarioReliabilityAggregator.dll,combase.dll,UusFailover.dll,bcryptPrimitives.dll",,,,
ApplicationFrameHost.exe,C:\Windows\system32\ApplicationFrameHost.exe,svchost.exe,1,USER,"ApplicationFrameHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,kernel.appcore.dll,msvcrt.dll,bcryptPrimitives.dll,dxgi.dll,win32u.dll,gdi32.dll,gdi32full.dll,msvcp_win.dll,USER32.dll,IMM32.DLL,dxcore.dll,clbcatq.dll,ApplicationFrame.dll,twinapi.appcore.dll,SHCORE.dll,UxTheme.dll,sechost.dll,OneCoreUAPCommonProxyStub.dll,MSCTF.dll,d3d11.dll,directxdatabasehelper.dll,advapi32.dll,ntmarta.dll,dcomp.dll,CoreMessaging.dll,CRYPTBASE.DLL,TWINAPI.dll,dwmapi.dll,UIAutomationCore.DLL,USERENV.dll,OLEAUT32.dll,PROPSYS.dll,d2d1.dll,SHELL32.dll,windows.staterepositorycore.dll,bcp47mrm.dll,profapi.dll,StartTileData.dll,windows.storage.dll,wintypes.dll,shlwapi.dll,SspiCli.dll,ole32.dll,CFGMGR32.dll,StructuredQuery.dll,windows.staterepositoryclient.dll,edputil.dll,VAULTCLI.dll,Windows.Graphics.dll,windowscodecs.dll,PhotoMetadataHandler.dll,Windows.UI.Xaml.dll,powrprof.dll,UMPDC.dll,textinputframework.dll,TextShaping.dll,CoreUIComponents.dll,bcrypt.dll,rometadata.dll",,,,
audiodg.exe,C:\Windows\system32\AUDIODG.EXE,svchost.exe,1,NT AUTHORITY\LOCAL SERVICE,null,,,,
Code.exe,C:\Users\student\AppData\Local\Programs\Microsoft VS Code\Code.exe,"code.exe,explorer.exe",2,USER,"Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,ffmpeg.dll,WS2_32.dll,UIAutomationCore.DLL,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,WINMM.dll,USER32.dll,USERENV.dll,IPHLPAPI.DLL,VERSION.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,dhcpcsvc.DLL,WINHTTP.dll,sechost.dll,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,MSCTF.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,ole32.dll,kernel.appcore.dll,dxgi.dll,dxcore.dll,directxdatabasehelper.dll,ntmarta.dll,mf.dll,mfplat.dll,cfgmgr32.dll,RTWorkQ.DLL,msmpeg2vdec.dll,mfperfhelper.dll,dxva2.dll,msvproc.dll,D3DCompiler_47.dll,libglesv2.dll,libegl.dll,dwmapi.dll,vulkan-1.dll,vk_swiftshader.dll,MSCTF.dll,dcomp.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,kernel.appcore.dll,watcher.node,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,kernel.appcore.dll,napinsp.dll,pnrpnsp.dll,DNSAPI.dll,NSI.dll,winrnr.dll,wshbth.dll,nlansp_c.dll,dhcpcsvc6.DLL,rasadhlp.dll,fwpuclnt.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,ntmarta.dll,kernel.appcore.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,watchdog.node,spdlog.node,napinsp.dll,pnrpnsp.dll,winrnr.dll,wshbth.dll,nlansp_c.dll,crypt32.node,rasadhlp.dll,fwpuclnt.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,dhcpcsvc.DLL,sechost.dll,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,ntmarta.dll,MSCTF.dll,kernel.appcore.dll,ole32.dll,COMCTL32.dll,DPAPI.dll,nlansp_c.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,clbcatq.dll,textinputframework.dll,Windows.UI.dll,windows.storage.dll,wintypes.dll,shlwapi.dll,profapi.dll,WTSAPI32.dll,WINSTA.dll,MMDevApi.dll,DEVOBJ.dll,CFGMGR32.dll,mscms.dll,bcrypt.dll,Windows.Globalization.dll,Bcp47Langs.dll,vscode-policy-watcher.node,gpapi.dll,MsSpellCheckingFacility.dll,OneCoreUAPCommonProxyStub.dll,spdlog.node,napinsp.dll,pnrpnsp.dll,winrnr.dll,wshbth.dll,dwmapi.dll,dataexchange.dll,twinapi.appcore.dll,CoreMessaging.dll,CoreUIComponents.dll,atlthunk.dll,OLEACC.dll,directmanipulation.dll,vscode-sqlite3.node,propsys.dll,policymanager.dll,msvcp110_win.dll,CreateMutex.node,iselevated.node,keymapping.node,winregistry.node,LINKINFO.dll,ntshrui.dll,srvcli.dll,cscapi.dll,TaskFlowDataEngine.dll,CRYPTSP.dll,rsaenh.dll,cryptnet.dll,keytar.node,WindowsCodecs.dll,edputil.dll,VAULTCLI.dll,NetworkExplorer.dll,TextShaping.dll,DUI70.dll,DUser.dll,StructuredQuery.dll,iertutil.dll,windows.staterepositorycore.dll,IconCodecService.dll,MPR.dll,windows.staterepositoryclient.dll,mrmcorer.dll,coml2.dll,bcp47mrm.dll,AppExtension.dll,EhStorShell.dll,SETUPAPI.dll,cscui.dll,vmhgfs.dll,VCRUNTIME140.dll,p9np.dll,drprov.dll,ntlanman.dll,davclnt.dll,thumbcache.dll,OneCoreCommonProxyStub.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,kernel.appcore.dll,spdlog.node,conpty.node,SHLWAPI.dll,windows_process_tree.node,PSAPI.DLL,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,ntmarta.dll,nlansp_c.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,rasadhlp.dll,fwpuclnt.dll,Code.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,WS2_32.dll,CRYPT32.dll,WINTRUST.dll,msvcrt.dll,ffmpeg.dll,UIAutomationCore.DLL,dbghelp.dll,MSIMG32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WINMM.dll,IPHLPAPI.DLL,VERSION.dll,USERENV.dll,DWrite.dll,WINSPOOL.DRV,Secur32.dll,WINHTTP.dll,sechost.dll,dhcpcsvc.DLL,dbgcore.DLL,SSPICLI.DLL,IMM32.DLL,MSASN1.dll,bcryptPrimitives.dll,ADVAPI32.dll,CRYPTBASE.DLL,powrprof.dll,UMPDC.dll,uxtheme.dll,mswsock.dll,SHELL32.dll,shcore.dll,kernel.appcore.dll,WINNSI.DLL",,,,
com.docker.service,C:\Program Files\Docker\Docker\com.docker.service,services.exe,1,NT AUTHORITY\SYSTEM,"com.docker.service,ntdll.dll,MSCOREE.DLL,KERNEL32.dll,KERNELBASE.dll,ADVAPI32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,mscoreei.dll,SHLWAPI.dll,kernel.appcore.dll,VERSION.dll,clr.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,ucrtbase.dll,VCRUNTIME140_CLR0400.dll,ucrtbase_clr0400.dll,mscorlib.ni.dll,ole32.dll,combase.dll,bcryptPrimitives.dll,clrjit.dll,System.ni.dll,System.ServiceProcess.ni.dll,CRYPTSP.dll,rsaenh.dll,CRYPTBASE.dll,bcrypt.dll,System.Core.ni.dll,System.Configuration.ni.dll,System.Xml.ni.dll,shell32.dll,windows.storage.dll,wintypes.dll,SHCORE.dll,profapi.dll,urlmon.dll,iertutil.dll,srvcli.dll,netutils.dll,SspiCli.dll,PROPSYS.dll,virtdisk.dll,FLTLIB.DLL,OLEAUT32.dll,WINTRUST.dll,CRYPT32.dll,MSASN1.dll,mscorsecimpl.dll,COMCTL32.dll,imagehlp.dll,gpapi.dll,cryptnet.dll,IPHLPAPI.DLL,WINNSI.DLL,NSI.dll,WINHTTP.dll,WS2_32.dll,mswsock.dll,dhcpcsvc6.DLL,dhcpcsvc.DLL,webio.dll,DNSAPI.dll,rasadhlp.dll,System.Numerics.ni.dll,System.Runtime.Serialization.ni.dll,System.Data.ni.dll,System.Data.dll,netstandard.ni.dll,SMDiagnostics.ni.dll,clbcatq.dll",,,,
conhost.exe,C:\Windows\system32\conhost.exe,MULTIPLE,2,USER,"conhost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,shcore.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,combase.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,kernel.appcore.dll,bcryptPrimitives.dll,clbcatq.dll,windows.staterepositorycore.dll,OpenConsoleProxy.dll,OLEAUT32.dll,,conhost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,shcore.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,combase.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,uxtheme.dll,MSCTF.dll,windows.storage.dll,wintypes.dll,shlwapi.dll,ole32.dll,PROPSYS.dll,shell32.dll,LINKINFO.dll,CFGMGR32.dll,profapi.dll,apphelp.dll,TextShaping.dll,comctl32.DLL,dwmapi.dll,textinputframework.dll,CoreMessaging.dll,CoreUIComponents.dll,CRYPTBASE.DLL,edputil.dll,VAULTCLI.dll",,,,
csrss.exe,null,null,2,NT AUTHORITY\SYSTEM,null,,,,
ctfmon.exe,C:\Windows\system32\ctfmon.exe,svchost.exe,1,USER,"ctfmon.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcrt.dll,MsCtfMonitor.DLL,combase.dll,MSUTB.dll,ucrtbase.dll,USER32.dll,RPCRT4.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,IMM32.DLL,MSCTF.dll,sechost.dll,WINSTA.dll,ole32.dll,kernel.appcore.dll,bcryptPrimitives.dll,uxtheme.dll,CoreMessaging.dll,CoreUIComponents.dll,wintypes.dll,InputService.dll,coreprivacysettingsstore.dll,TextInputMethodFormatter.dll,OLEAUT32.dll,shcore.dll,MTFServer.dll,TextInputFramework.dll,advapi32.dll,CRYPTBASE.DLL,InputLocaleManager.dll,policymanager.dll,msvcp110_win.dll,Bcp47Langs.dll,KBDUS.DLL,wtsapi32.dll,inputhost.dll,clbcatq.dll,mtf.dll,OneCoreUAPCommonProxyStub.dll,Windows.Web.dll,WordBreakers.dll",,,,
DataExchangeHost.exe,C:\Windows\System32\DataExchangeHost.exe,svchost.exe,1,USER,"DataExchangeHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,shcore.dll,msvcp_win.dll,sechost.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,d2d1.dll,d3d11.dll,msvcrt.dll,DWrite.dll,kernel.appcore.dll,TWINAPI.dll,dcomp.dll,dxgi.dll,IMM32.DLL,bcryptPrimitives.dll,clbcatq.dll,OneCoreUAPCommonProxyStub.dll,twinapi.appcore.dll,windows.applicationmodel.datatransfer.dll,uxtheme.dll,MSCTF.dll,dxcore.dll,directxdatabasehelper.dll,advapi32.dll,ntmarta.dll,shell32.dll,windows.storage.dll,wintypes.dll,TextShaping.dll,OLEAUT32.dll,shlwapi.dll,PROPSYS.dll,ole32.dll,CFGMGR32.dll,Windows.System.Launcher.dll,msvcp110_win.dll,windows.staterepositorycore.dll,edputil.dll,VAULTCLI.dll,thumbcache.dll,profapi.dll,comctl32.dll,WindowsCodecs.dll,windows.staterepositoryclient.dll,mrmcorer.dll,iertutil.dll,bcp47mrm.dll,Windows.UI.dll",,,,
dllhost.exe,C:\Windows\system32\DllHost.exe,"svchost.exe,services.exe",2,USER,"DllHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,kernel.appcore.dll,msvcrt.dll,bcryptPrimitives.dll,clbcatq.dll,sechost.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,IMM32.DLL,uxtheme.dll,windows.staterepositorycore.dll,WindowsTerminalShellExt.dll,shcore.dll,OLEAUT32.dll,MSVCP140.dll,VCRUNTIME140.dll,VCRUNTIME140_1.dll,OneCoreUAPCommonProxyStub.dll,windows.storage.dll,wintypes.dll,MrmCoreR.dll,windows.staterepositoryclient.dll,profapi.dll,Windows.UI.dll,bcp47mrm.dll,twinapi.appcore.dll,shlwapi.dll,PROPSYS.dll,DllHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,kernel.appcore.dll,msvcrt.dll,bcryptPrimitives.dll,clbcatq.dll,sechost.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,IMM32.DLL,uxtheme.dll,webplatstorageserver.dll,OLEAUT32.dll,advapi32.dll,iertutil.dll,windows.storage.dll,wintypes.dll,SHCORE.dll,shlwapi.dll,profapi.dll,ESENT.dll,CRYPTBASE.DLL,ole32.dll,DllHost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,kernel.appcore.dll,msvcrt.dll,bcryptPrimitives.dll,clbcatq.dll,sechost.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,IMM32.DLL,uxtheme.dll,thumbcache.dll,propsys.dll,shcore.dll,WindowsCodecs.dll,COMSVCS.DLL,CRYPTSP.dll,rsaenh.dll,txflog.dll,es.dll,sxs.dll,XOLEHLP.dll,MSDTCPRX.DLL,WS2_32.dll,MTXCLU.DLL,ktmw32.dll,CLUSAPI.dll,RESUTILS.dll,bcrypt.dll,wkscli.dll,cscapi.dll,netutils.dll,sspicli.dll,mswsock.dll,DNSAPI.dll,IPHLPAPI.DLL,NSI.dll,fwpuclnt.dll,rasadhlp.dll,catsrv.dll,MfcSubs.dll,catsrvps.dll,catsrvut.dll,OneCoreCommonProxyStub.dll,CFGMGR32.dll",,,,
dwm.exe,C:\Windows\system32\dwm.exe,winlogon.exe,1,DWM-1,"dwm.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,ucrtbase.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,combase.dll,gdi32.dll,win32u.dll,gdi32full.dll,msvcp_win.dll,USER32.dll,dwmredir.dll,dxgi.dll,udwm.dll,OLEAUT32.dll,CoreMessaging.dll,dxcore.dll,dwmcore.dll,D3DCOMPILER_47.dll,CRYPTSP.dll,IMM32.DLL,d2d1.dll,XmlLite.dll,uxtheme.dll,dwmghost.dll,dwmapi.dll,directxdatabasehelper.dll,ntmarta.dll,kernel.appcore.dll,avrt.dll,ism.dll,WINTRUST.dll,powrprof.dll,CRYPT32.dll,cfgmgr32.dll,shcore.dll,PROPSYS.dll,bcrypt.dll,dcomp.dll,CoreUIComponents.dll,wintypes.dll,UMPDC.dll,MSASN1.dll,bcryptPrimitives.dll,CRYPTBASE.DLL,clbcatq.dll,windowmanagementapi.dll,d3d11.dll,D3D10Warp.dll,rsaenh.dll,imagehlp.dll,WindowsCodecs.dll,gpapi.dll,gameinput.dll,wuceffects.dll,Windows.Gaming.Input.dll,UIAnimation.dll,twinapi.appcore.dll,DispBroker.Desktop.dll,OneCoreUAPCommonProxyStub.dll,ActXPrxy.dll,DispBroker.dll,Windows.Graphics.dll,wtsapi32.dll,WINSTA.dll,mscms.dll,Cabinet.dll,TextShaping.dll,COMCTL32.dll",,,,
everything.exe,C:\Program Files\Everything\Everything.exe,"services.exe,explorer.exe",2,USER,"Everything.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,WS2_32.dll,RPCRT4.dll,SHLWAPI.dll,msvcrt.dll,USER32.dll,win32u.dll,GDI32.dll,COMCTL32.dll,gdi32full.dll,msvcp_win.dll,ucrtbase.dll,comdlg32.dll,combase.dll,shcore.dll,SHELL32.dll,ADVAPI32.dll,sechost.dll,ole32.dll,IMM32.DLL,uxtheme.dll,urlmon.dll,iertutil.dll,srvcli.dll,netutils.dll,kernel.appcore.dll,bcryptPrimitives.dll,windows.storage.dll,wintypes.dll,OLEAUT32.dll,CFGMGR32.dll,clbcatq.dll,propsys.dll,profapi.dll,apphelp.dll,NetworkExplorer.dll,WindowsCodecs.dll,Windows.System.Launcher.dll,msvcp110_win.dll,windows.staterepositorycore.dll,MSCTF.dll",,,,
